Name,Display,Semitones,Parent,Degree,Moods,AltNames
Minor Pentatonic scale,Minor Pentatonic,0 3 5 7 10,MAJOR PENTATONIC,5,"Rock, Folk, World Music",
Major Blues Hexatonic Scale,Major Blues Hexatonic,0 2 3 4 7 9,MAJOR BLUES HEXATONIC,1,"Positive, Folk, World Music",
Major Blues Hexatonic mode 2,Major Blues Hexatonic mode 2,0 1 2 5 7 10,MAJOR BLUES HEXATONIC,2,"Positive, Folk, World Music",
Major Blues Hexatonic mode 3,Major Blues Hexatonic mode 3,0 1 4 6 9 11,MAJOR BLUES HEXATONIC,3,"Positive, Folk, World Music",
Major Blues Hexatonic mode 4,Major Blues Hexatonic mode 4,0 3 5 8 10 11,MAJOR BLUES HEXATONIC,4,"Positive, Folk, World Music",
Major Blues Hexatonic mode 5,Major Blues Hexatonic mode 5,0 2 5 7 8 9,MAJOR BLUES HEXATONIC,5,"Positive, Folk, World Music",
Minor Blues Hexatonic Scale,Minor Blues Hexatonic,0 3 5 6 7 10,MAJOR BLUES HEXATONIC,6,"Positive, Folk, World Music",
Hirajoshi Scale,Hirajoshi,0 4 6 7 11,HIRAJOSHI,1,"Japanese, World Music",
Iwato Scale,Iwato,0 2 3 7 8,HIRAJOSHI,2,"Japanese, World Music",
Kumoi Scale,Kumoi,0 2 3 7 9,KUMOI,1,"Japanese, World Music",
Insen Scale,Insen,0 1 5 7 10,KUMOI,2,"Japanese, World Music",
Ritsu Scale,Ritsu,0 2 3 5 7 9 10,RITSU,1,"Japanese, World Music",
In Scale,In,0 1 3 5 7 8 10,RITSU,2,"Japanese, World Music",
Ryo Scale,Ryo,0 2 4 7 9,RYO,1,"Japanese, World Music",
Minyo Scale,Minyo,0 3 5 8 10,RYO,3,"Japanese, World Music",
Yo Scale,Yo,0 2 5 7 9,RYO,4,"Japanese, World Music",
Whole Tone scale,Whole,0 2 4 6 8 10,WHOLE,1,"Complex, Jazz, Unstable",
