Name,Symbol,UUID,IsMinor,Semitones,Formula
min11(b5) b13,m11(b5) b13,17065a6d-6975-41ce-ad4c-32c202b1d1d6,1,0 3 6 10 14 17 20,1 b3 b5 b7 9 11 b13
maj11,M11,3c157ab9-3bda-4946-a11c-b5b25c424b7a,0,0 4 7 11 14 17,1 3 5 7 9 11
maj add 11,M add 11,8edea64b-ff99-4927-ab05-26b89a9dd5ed,0,0 4 7 17,1 3 5 11
maj add 9 11,M add 9 11,2dbebfd0-c109-4724-b92d-488676cd42df,0,0 4 7 14 17,1 3 5 9 11
maj #11,M #11,92d880d8-fe4d-4fd8-b94c-3d48d6a39f83,0,0 4 7 18,1 3 5 #11
maj13,M13,5a740f0b-ec60-4ad0-b4a2-6528b357b7d5,0,0 4 7 11 14 17 21,1 3 5 7 9 11 13
maj13(sus4),M13(sus4),926039cf-ad1b-4aa4-8b55-89b0f353d655,0,0 5 7 11 14 17 21,1 4 5 7 9 11 13
maj13(#11),M13(#11),b2bb02f1-ce5b-403d-951c-26045611ae2c,0,0 4 7 11 14 18 21,1 3 5 7 9 #11 13
maj13(#9 #11),M13(#9 #11),3e327551-647a-4bef-aa0a-0a14d4a62675,0,0 4 7 11 15 18 21,1 3 5 7 #9 #11 13
maj11 b13,M11 b13,5b82ded9-2b83-4d06-bcad-e4ec9e2d20f9,0,0 4 7 11 14 17 20,1 3 5 7 9 11 b13
min13,m13,24ed47bd-58c3-4d32-a553-77ff96fae25c,1,0 3 7 10 14 17 21,1 b3 5 b7 9 11 13
min13(#11),m13(#11),801e4f37-9bbc-4298-9530-951243e654b2,1,0 3 7 10 14 18 21,1 b3 5 b7 9 #11 13
min13(#9 #11),m13(#9 #11),923d8064-ff45-41e9-8808-26df9fe2d6a5,1,0 3 7 10 15 18 21,1 b3 5 b7 #9 #11 13
min13(b5),m13(b5),4fc57486-41ec-430d-b812-0d2a88504f37,1,0 3 6 10 14 17 21,1 b3 b5 b7 9 11 13
min13(b9),m13(b9),2676bc15-cae0-4c3d-9993-483a41f0e87d,1,0 3 7 10 13 17 21,1 b3 5 b7 b9 11 13
13,13,d9ef38fb-7219-44bf-8e17-1ec9bb66ee2f,0,0 4 7 10 14 17 21,1 3 5 b7 9 11 13
13(b9),13(b9),9501bbd7-b097-4937-83c3-99722f5c5f17,0,0 4 7 10 13 17 21,1 3 5 b7 b9 11 13
13(#9 #11),13(#9 #11),95de95fc-1018-4437-b393-38d9b4343a71,0,0 4 7 10 15 18 21,1 3 5 b7 #9 #11 13
13(b9 #11),13(b9 #11),29787bf8-9e13-406b-ad70-89ce0be3ebeb,0,0 4 7 10 13 18 21,1 3 5 b7 b9 #11 13
13(#9),13(#9),82e08ee3-d567-42a9-8238-5a9a9a21aa60,0,0 4 7 10 15 17 21,1 3 5 b7 #9 11 13
13(#11),13(#11),f456e392-0164-49f8-a28e-bcbc7ace3711,0,0 4 7 10 14 18 21,1 3 5 b7 9 #11 13
13(sus4),13(sus4),545d869c-de28-4e77-929c-8e8291655fa0,0,0 5 7 10 14 17 21,1 4 5 b7 9 11 13
7 11,7 11,af35b861-a786-4e2d-ac1a-ec409fb9858c,0,0 4 7 10 17,1 3 5 b7 11
7 13,7 13,34c5b54a-95e8-4b72-8465-8afb9747d2ef,0,0 4 7 10 21,1 3 5 b7 13
7 11 13,7 11 13,074a6481-17ba-454e-9cb1-cb81343160f4,0,0 4 7 10 17 21,1 3 5 b7 11 13
7 maj7,7 M7,2c5416cf-203d-41ef-b734-cbc97fce6686,0,0 4 7 10 11,1 3 5 b7 7
5 maj7 #11,5 M7 #11,0f3ffc18-bdce-4f64-a90a-d05785dc6e0e,0,0 7 11 18,1 5 7 #11
7 maj7 #11,7 M7 #11,7a829ed0-7b1a-4b1e-b8dc-07d8a390610b,0,0 4 7 10 11 18,1 3 5 b7 7 #11
7 maj7 b9 #9,7 M7 b9 #9,973b2b7e-8a2a-4987-bfe2-6c8211c0df9a,0,0 4 7 10 11 13 15,1 3 5 b7 7 b9 #9
maj #9,M #9,71e25072-211e-4d8c-b315-f540bda2badd,0,0 4 7 15,1 3 5 #9
maj #9 b13,M #9 b13,4a648fd5-484a-4ab0-a988-1c6388904bae,0,0 4 7 15 20,1 3 5 #9 b13
maj7 11,M7 11,aac0cfac-72e5-47a2-9a07-25f30cb45d58,0,0 4 7 11 17,1 3 5 7 11
maj7 13,M7 13,0d2ce207-4a06-4f97-9e32-b86bc1e05656,0,0 4 7 11 21,1 3 5 7 13
maj7 11 13,M7 11 13,d022edb2-1506-4087-a53f-2241aad026f2,0,0 4 7 11 17 21,1 3 5 7 11 13
maj7 #11,M7 #11,1ad1b93f-3b2c-48c0-bb27-945fa3add9e2,0,0 4 7 11 18,1 3 5 7 #11
maj7 #11 b13,M7 #11 b13,e2252f25-308f-401b-8b24-b1596b5c08d7,0,0 4 7 11 18 20,1 3 5 7 #11 b13
aug #9 #11,+ #9 #11,4b102961-5870-489e-82cc-ae019cb98e33,0,0 4 8 15 18,1 3 #5 #9 #11
7(#5),7(#5),b9305258-617f-418f-be80-10371b2c9d0c,0,0 4 8 10,1 3 #5 b7
maj7(#5),M7(#5),fb83b6c1-d593-491b-a6cb-3b5e410e2ef6,0,0 4 8 11,1 3 #5 7
7(#5) maj7 b9,7(#5) M7 b9,c0432a5e-724c-4ea0-bd6c-ccd7125673ce,0,0 4 8 10 11 13,1 3 #5 b7 7 b9
aug add 9,+ add 9,5eeda11c-b0f3-45b0-a2c7-639a51ef17f7,0,0 4 8 14,1 3 #5 9
aug add 11,+ add 11,2ac495c3-0c8a-4467-867a-c6d458cef1cb,0,0 4 8 17,1 3 #5 11
aug add 9 11,+ add 9 11,1c406dd5-c41f-4e16-b061-deebb0cd5ebb,0,0 4 8 14 17,1 3 #5 9 11
aug add 13,+ add 13,c9b38b33-5a32-42a7-8ac3-381e726cfc03,0,0 4 8 21,1 3 #5 13
maj9(#5),M9(#5),838641da-5954-481c-9521-5ab9b7fc8f2d,0,0 4 8 11 14,1 3 #5 7 9
maj11(#5),M11(#5),4bbd58bd-3b75-4146-893e-0b3100d5f9c7,0,0 4 8 11 14 17,1 3 #5 7 9 11
maj11(#5 #9),M11(#5 #9),25824b81-ceb0-446d-8e15-0c96c0155a15,0,0 4 8 11 15 17,1 3 #5 7 #9 11
maj11(b5),M11(b5),5f27f74f-5815-4510-9b14-1e7f01d51be2,0,0 4 6 11 14 17,1 3 b5 7 9 11
maj11(b9),M11(b9),87e67b90-ced6-457a-ae76-43e8df4e042e,0,0 4 7 11 13 17,1 3 5 7 b9 11
maj11(b9) b13,M11(b9) b13,68b732ba-2ffe-4187-ade6-4397f880ac48,0,0 4 7 11 13 17 20,1 3 5 7 b9 11 b13
maj11(b5 b9),M11(b5 b9),3fa55f16-5da2-4709-9405-472ef8d3b94b,0,0 4 6 11 13 17,1 3 b5 7 b9 11
maj11(b5 b9) b13,M11(b5 b9) b13,aa4bd2eb-2952-46e5-9574-0c8e4d55d353,0,0 4 6 11 13 17 20,1 3 b5 7 b9 11 b13
maj11(#9),M11(#9),1e3fd642-0bfb-49c3-9aa6-d659b6fd4912,0,0 4 7 11 15 17,1 3 5 7 #9 11
maj11(#9) b7,M11(#9) b7,79197aa9-d4f0-4e03-9788-2014b5866048,0,0 4 7 10 11 15 17,1 3 5 b7 7 #9 11
maj11(#9) b13,M11(#9) b13,2ef7eb87-9707-4a69-89bd-6c04a50be22c,0,0 4 7 11 15 17 20,1 3 5 7 #9 11 b13
maj13(#5),M13(#5),c789fcb9-580d-44a5-84cb-cc7373673449,0,0 4 8 11 14 17 21,1 3 #5 7 9 11 13
maj13(#9),M13(#9),d3b14dde-7e69-4f51-b02f-ef677e3ed88e,0,0 4 7 11 15 17 21,1 3 5 7 #9 11 13
